prompt,completion
내일 오전 중에 가능한 시간 있을까요?,확인해보니 오전 10시 20분이 비어 있는데 괜찮으세요?
"네, 그 시간 괜찮습니다.",성함이랑 연락처 부탁드립니다.
"이성훈이고요, 전화번호는 010-9988-3311이에요.","예약 완료됐습니다. 진료 10분 전까지 내원 부탁드리고, 신분증 지참해주세요."
"네, 감사합니다!",내일 뵙겠습니다. 쾌유를 빕니다.
"안녕하세요. 저 학생인데요, 감기 기운이 심해서 진료 예약하려고요.","네, 안녕하세요. 내과 진료 예약 도와드릴게요. 언제쯤 원하시나요?"
내일 오전에 진료받고 싶은데 가능한가요?,내일 오전엔 9시 반이 비어 있는데 괜찮으세요?
"네, 그 시간 괜찮아요.",성함이랑 연락처 알려주시겠어요?
"이서준이고요, 전화번호는 010-1234-5678이에요.",예약 완료됐습니다. 초진이시니까 신분증 지참하시고 10분 일찍 와주세요.
"네, 알겠습니다. 감사합니다!",내일 뵙겠습니다. 조심히 오세요.
"여보세요, 감기가 너무 심해서 진료 예약하려고 전화드렸어요.","네, 내과 진료 예약 도와드릴게요. 어느 시간대 원하시나요?"
내일 오전 11시 전에 가능한 시간 있을까요? 수업이 있어서요.,그럼 10시 10분에 하나 비어 있습니다. 괜찮으세요?
"네, 그 시간으로 해주세요.",성함이랑 연락처 부탁드릴게요.
"김채윤이고요, 010-8765-4321입니다.","네, 예약 접수됐고요. 진료 10분 전까지 도착해주시면 됩니다."
"네, 감사합니다.","네, 내일 뵐게요. 쾌유를 빕니다."
안녕하세요. 저 혼자 예약하려고요. 감기가 심해서 진료 좀 받아보려고요.,"네, 안녕하세요. 처음 예약이신가요?"
"네, 처음이에요.",알겠습니다. 내과 진료 예약 도와드릴게요. 원하시는 시간 있으실까요?
내일 오전 중으로 가능한 시간 있나요?,"네, 11시 30분이 비어 있는데 괜찮으세요?"
"네, 괜찮아요. 그걸로 해주세요.",그럼 성함이랑 연락처 알려주시겠어요?
"정현우이고요, 010-3344-7788입니다.","네, 예약 완료됐습니다. 신분증 챙겨오시고, 초진이니 10분 일찍 와주세요."
네! 감사합니다.,내일 뵙겠습니다. 좋은 하루 보내세요.
"안녕하세요. 저 학생인데요, 감기 기운이 심해서 진료 예약 좀 하려고요.","네, 안녕하세요. 내과 진료 예약 도와드릴게요. 혹시 원하시는 날짜나 시간대 있으실까요?"
"내일 오전 10시쯤이면 좋을 것 같은데, 그때 가능할까요?",잠시만요… 죄송하지만 내일 10시에는 예약이 다 찼네요. 다른 시간 괜찮으세요?
아 그렇군요… 혹시 그 전이나 그 이후엔 어떤 시간대가 남아 있나요?,"오전에는 9시 10분이 하나 있고, 오후엔 2시 15분이 비어 있어요. 어떤 쪽이 나으실까요?"
흠... 수업이 1시부터 있어서 오전에 보는 게 나을 것 같아요. 9시 10분으로 할게요.,"네, 9시 10분 내과 진료로 예약해드리겠습니다. 성함과 연락처 확인 부탁드릴게요."
"김수빈이고요, 010-7412-3850입니다.","네, 확인됐습니다. 초진이시니까 신분증 꼭 챙겨 오시고요, 진료 시작 10분 전까지 오시면 됩니다."
"네, 알겠습니다. 감사합니다!","네, 내일 뵐게요. 몸 조심하시고 좋은 하루 보내세요."
"여보세요, 저 내일 감기 때문에 진료 좀 받고 싶어서 예약하려고요.","네, 안녕하세요. 이비인후과 진료 예약 도와드릴게요. 내일 오전 중으로 원하시나요?"
아… 저 내과로 예약하고 싶은데요. 감기 증상이라서요.,"아, 죄송합니다. 제가 착각했네요. 내과로 예약 도와드릴게요. 내일 오전 10시 50분이 가능한데 괜찮으세요?"
"네, 괜찮아요. 그 시간으로 부탁드릴게요.",성함과 연락처 확인 도와드릴게요.
"박윤하이고요, 010-2345-7890이에요.","확인됐습니다. 내일 오전 10시 50분 내과 진료로 예약 완료됐고요, 초진이시면 신분증 꼭 지참 부탁드립니다."
"네, 감사합니다!","네, 내일 뵙겠습니다. 쾌유를 빕니다."
안녕하세요. 내일 오전에 진료 예약하고 싶어서 전화드렸어요.,"네, 내과 진료 예약 도와드릴게요. 내일이면 10일 수요일 말씀하시는 건가요?"
"아… 아니요, 오늘이 수요일 아닌가요?",오늘이 화요일입니다. 내일은 수요일이에요. 혹시 원하시는 날짜가 내일 맞으신가요?
"아 그렇군요, 제가 헷갈렸네요. 네, 내일 오전으로 예약해주세요.","네, 내일 오전엔 9시 40분 자리가 비어 있습니다. 괜찮으세요?"
"네, 좋아요. 그걸로 예약할게요.",성함과 연락처 알려주세요.
"이지훈이고요, 010-8899-1133입니다.",예약 완료됐습니다. 진료 시작 10분 전까지 도착 부탁드립니다. 신분증도 챙겨주세요.
"네, 감사합니다!",내일 뵙겠습니다. 몸 조심하세요.
안녕하세요. 감기 기운이 있어서 내과 예약하려고 전화드렸어요.,"네, 내일 오전 중으로 원하시나요?"
"네, 내일 오전에 진료 받고 싶어요.",내일 오전 10시 15분 예약 가능하세요. 괜찮으실까요?
"네, 괜찮아요. 예약해주세요.",성함과 연락처 확인 부탁드릴게요.
"강유진이고요, 번호는 010-5555-1233입니다.","고객님, 아까 통화 중복으로 확인하려는데 전화번호 등록이 안 되네요. 혹시 다시 한 번 확인해주실 수 있을까요?"
"아, 죄송해요. 잘못 말씀드렸어요. 010-5553-1233이에요.","네, 수정해서 예약 완료해드렸습니다. 진료 10분 전까지 도착 부탁드릴게요."
"네, 감사합니다!",내일 뵙겠습니다. 몸 조심하세요.
"여보세요, 내일 오전 8시 반쯤 진료 예약할 수 있을까요?",죄송하지만 저희 병원은 오전 9시부터 진료가 시작돼서 8시 반엔 예약이 어렵습니다.
아 그렇군요… 그럼 가장 이른 시간이 언제인가요?,내일 오전 9시 10분 자리가 하나 비어 있어요. 해당 시간 괜찮으신가요?
"네, 그 시간으로 해주세요.",성함과 연락처 부탁드립니다.
"조예린이고, 010-6677-2299예요.","네, 예약 완료됐습니다. 진료 전 간단한 문진이 있으니 10분 일찍 도착 부탁드립니다."
"네, 감사합니다.",내일 뵙겠습니다. 쾌유를 빕니다.
안녕하세요. 감기 기운이 심해서 진료 예약하려고요.,"네, 안녕하세요. 내과 진료 예약 도와드릴게요. 진료 원하시는 날짜나 시간 있으실까요?"
내일 오전 중으로 가능한가요?,"네, 내일 오전에는 9시 20분과 10시 40분 자리가 있습니다. 어떤 시간이 좋으세요?"
10시 40분으로 해주세요.,내일 10시 40분 내과 진료로 예약 도와드렸습니다. 성함과 연락처 알려주세요.
"장세현이고요, 010-4321-5678입니다.","네, 확인했습니다. 초진 접수 있으니 10분 전 도착 부탁드립니다."
"네, 감사합니다.","네, 내일 뵙겠습니다. 건강 유의하세요."
"여보세요, 오늘부터 기침이 심해서 내일 진료 예약하고 싶어요.","네, 안녕하세요. 내과 진료 예약 도와드릴게요. 오전과 오후 중 언제 원하시나요?"
오전이요. 수업 전에 받고 싶어서요.,오전엔 9시와 11시 10분 자리가 있습니다. 어느 쪽이 나으세요?
9시로 할게요.,"네, 내일 오전 9시로 예약해드렸습니다. 성함이랑 연락처 부탁드립니다."
"김하린이고, 010-1111-2222예요.",확인됐습니다. 진료 10분 전까지 오시면 됩니다. 감사합니다.
감사합니다!,"네, 내일 뵙겠습니다."
안녕하세요. 감기 때문에 몸이 너무 안 좋아서 진료 예약하고 싶어요.,안녕하세요. 내과 진료 예약 도와드릴게요. 언제쯤 원하시나요?
내일 오전 11시쯤 가능할까요?,"11시는 이미 예약이 가득 찼고, 10시 50분이 비어 있어요. 괜찮으세요?"
"네, 10시 50분 괜찮아요.",내일 오전 10시 50분으로 내과 진료 예약해드렸습니다. 성함과 연락처 알려주세요.
"이한결, 010-3333-8888입니다.",확인됐습니다. 접수 시간 고려해서 일찍 도착해주세요.
알겠습니다. 고맙습니다.,"네, 내일 뵐게요. 좋은 하루 보내세요."
안녕하세요. 감기 때문에 몸이 너무 안 좋아서 진료 예약하고 싶어요.,안녕하세요. 내과 진료 예약 도와드릴게요. 언제쯤 원하시나요?
내일 오전 11시쯤 가능할까요?,"11시는 이미 예약이 가득 찼고, 10시 50분이 비어 있어요. 괜찮으세요?"
"네, 10시 50분 괜찮아요.",내일 오전 10시 50분으로 내과 진료 예약해드렸습니다. 성함과 연락처 알려주세요.
"이한결, 010-3333-8888입니다.",확인됐습니다. 접수 시간 고려해서 일찍 도착해주세요.
알겠습니다. 고맙습니다.,"네, 내일 뵐게요. 좋은 하루 보내세요."
"여보세요, 콧물도 나고 기침도 심해서 진료 예약하려고요.","네, 안녕하세요. 내과 예약 도와드릴게요. 내일 진료 원하시나요?"
"네, 내일 오전에요.",오전에는 9시 10분과 10시 반 중 선택 가능하세요. 어느 쪽이 편하신가요?
10시 반으로 예약할게요.,"네, 10시 반 내과 진료로 예약 완료됐습니다. 성함이랑 연락처 알려주세요."
"윤가은이고요, 010-7777-4545입니다.","네, 초진이시니까 신분증 지참하시고 10분 전 도착 부탁드립니다."
"네, 감사합니다.",내일 뵙겠습니다. 몸 조심하세요.
안녕하세요. 열이 계속 나서 내과 진료 예약하고 싶어요.,"네, 도와드릴게요. 내일 오전에 예약 원하시나요?"
"네, 오전 중 빠른 시간 있으면 좋겠어요.",9시 5분과 10시 25분 자리가 있어요. 어떤 시간 괜찮으세요?
10시 25분이요.,예약 완료했습니다. 성함과 연락처 부탁드려요.
"박세린, 010-6789-1111입니다.","네, 확인했습니다. 진료 전에 간단한 문진 있으니 일찍 와주세요."
"네, 감사합니다.","네, 내일 뵐게요. 쾌유를 빕니다."
"안녕하세요. 학생인데요, 감기 기운이 심해서 내과 진료 좀 예약하려고요.","네, 안녕하세요. 내과 예약 도와드릴게요. 혹시 원하시는 날짜나 시간 있으실까요?"
내일 오전 중에 볼 수 있을까요? 수업 전에 진료 보고 싶어서요.,"확인해보겠습니다. 내일 오전에는 9시 30분이랑 10시 50분 자리가 있는데요, 어떤 시간이 더 괜찮으세요?"
수업이 11시부터 있어서 9시 30분에 받을 수 있을까요?,"네, 9시 30분 내과 진료로 예약 도와드렸습니다. 성함과 연락처 알려주시겠어요?"
"이수빈이고요, 010-2468-1357입니다.","네, 예약 완료됐고요. 초진이시라 간단한 문진표 작성이 있으니 10분 일찍 도착 부탁드릴게요."
"네, 알겠습니다. 감사합니다.",내일 뵙겠습니다. 몸 조심하세요!
"여보세요, 요 며칠 기침이 심해서 진료 좀 받아보려고요. 예약 가능할까요?","네, 내과 예약 도와드릴게요. 진료는 언제쯤 원하시나요?"
내일 오전에 받을 수 있을까요? 5일이죠?,"내일은 6일 목요일인데, 내일 예약 원하시는 거 맞으세요?"
"아, 그렇군요. 네, 내일 목요일 오전으로 부탁드릴게요.",오전엔 10시 10분과 11시 40분 자리가 있어요. 어떤 쪽이 괜찮으세요?
10시 10분이요.,10시 10분 내과 진료로 예약 도와드렸습니다. 성함과 전화번호 부탁드립니다.
"박도현, 010-4321-5678이에요.","네, 예약 완료됐습니다. 신분증 지참하시고 진료 10분 전까지 오시면 됩니다."
감사합니다. 내일 뵐게요.,"네, 조심히 오세요. 쾌유를 빕니다."
안녕하세요. 열도 나고 몸이 으슬으슬해서 진료 좀 예약하려고요.,"네, 안녕하세요. 내과 예약 도와드릴게요. 진료는 언제쯤 원하시나요?"
내일 오전 9시쯤 가능할까요?,"죄송합니다. 내일 9시대는 모두 마감됐고요, 10시 25분 자리가 비어 있어요."
괜찮아요. 그 시간으로 부탁드릴게요.,"네, 내일 오전 10시 25분으로 예약 도와드렸습니다. 성함과 연락처 알려주시겠어요?"
"전지우이고요, 010-8899-1123입니다.","네, 확인됐습니다. 초진이시면 간단한 접수 있으니 10분 일찍 도착 부탁드립니다."
"네, 고맙습니다.",내일 뵙겠습니다. 쾌차하세요!
안녕하세요. 두통이 심해서 진료 좀 예약하려고요.,"네, 신경과 예약 도와드릴게요. 언제쯤 원하시나요?"
"아, 저 신경과 아니고요. 내과 진료 원해요. 약간 감기 증상도 있어서요.","아, 죄송합니다. 내과로 예약 도와드릴게요. 내일 오전 11시 자리가 비어 있는데 괜찮으세요?"
"네, 좋아요.",내과 진료 내일 11시로 예약 완료했습니다. 성함과 전화번호 부탁드릴게요.
"장은채이고요, 010-5566-7788입니다.","네, 확인됐습니다. 진료 전에 문진 작성 있으니 10분 전 도착 부탁드립니다."
"네, 감사합니다.",내일 뵙겠습니다. 편히 쉬세요.
안녕하세요. 감기 기운이 있어서 진료 예약 좀 하려고요.,"네, 내과 예약 도와드릴게요. 언제쯤 원하시나요?"
내일 오전 10시쯤 괜찮을까요?,"10시는 마감됐고, 10시 40분은 괜찮습니다."
"네, 10시 40분으로 할게요. 제 이름은 김지은이고, 번호는 010-2222-3332예요.",잠시만요… 번호가 등록되지 않는데요. 다시 한번 번호 확인해주실 수 있을까요?
"아, 제가 잘못 말했네요. 010-2232-3332입니다.","확인됐습니다. 예약 완료됐고요, 초진 접수 있으니 일찍 도착해주세요."
"네, 감사합니다.","네, 내일 뵐게요. 좋은 하루 보내세요."
"여보세요, 안녕하세요. 감기 증상이 심해서 내일 진료 좀 예약하려고요.","네, 안녕하세요. 내과 진료 예약 도와드릴게요. 혹시 원하시는 시간대 있으실까요?"
오전 중으로 가능하면 좋겠어요. 기침도 심하고 열도 좀 있어서요.,"네, 확인해보겠습니다. 내일 오전에는 9시 50분과 11시 10분 자리가 있습니다. 어느 시간이 괜찮으세요?"
수업이 12시부터 있어서 9시 50분에 진료받고 싶어요.,"알겠습니다. 내일 오전 9시 50분, 내과 진료로 예약 도와드렸습니다. 성함이랑 연락처 확인 부탁드립니다."
"정하윤이고요, 전화번호는 010-2356-7890입니다.","네, 확인되었습니다. 초진 접수 있으니 10분 전까지 병원에 도착해주시고, 신분증도 지참 부탁드려요."
"네, 신분증 꼭 챙길게요. 혹시 마스크는 필수인가요?","네, 감염 예방을 위해 반드시 착용 부탁드립니다."
알겠습니다. 예약 확인 문자 같은 거 오나요?,"네, 잠시 후 문자로 예약 정보 발송해드릴게요. 혹시 변경사항 생기면 언제든 병원으로 연락 주세요."
"네, 감사합니다. 내일 뵙겠습니다.","네, 조심히 오세요. 빠른 쾌유를 바랍니다."
안녕하세요. 감기에 걸려서 진료 좀 받으려고 전화드렸어요.,"네, 내과 진료 예약 도와드릴게요. 원하시는 날짜나 시간 있으실까요?"
내일 오전 10시에 진료받고 싶은데 가능할까요?,내일은 저희 병원이 오전 진료가 없고 오후 2시부터 시작인데 괜찮으실까요?
"아, 그런가요? 제가 오전에만 시간이 돼서요. 혹시 다른 날 오전에는 가능할까요?","모레는 오전 진료가 가능하시고요, 오전 9시 30분, 10시 45분 중에 선택하실 수 있습니다."
그럼 모레 9시 30분으로 예약해 주세요.,"네, 모레 오전 9시 30분 내과 진료로 예약해드렸습니다. 성함이랑 연락처 알려주시겠어요?"
"김태연이고요, 전화번호는 010-7777-6666입니다.","예약 완료됐습니다. 초진 접수로 신분증 지참해주시고, 진료 시작 10분 전까지 도착해 주세요."
"네, 그 시간 맞춰서 가겠습니다. 감사합니다.","네, 내일 모레 뵙겠습니다. 감기 심하실 텐데 푹 쉬시고 물 많이 드세요."
"여보세요, 감기가 너무 심해서 진료 예약 좀 하려고요.",안녕하세요. 이비인후과 예약 도와드릴게요. 언제쯤 원하시나요?
"아, 저 내과 진료 원해요. 기침이랑 열 때문에요.","아 네, 죄송합니다. 내과로 다시 예약 도와드릴게요. 내일 오전 괜찮으신가요?"
"네, 오전이 좋아요. 빠르면 더 좋고요.","내일 오전에는 9시, 10시 20분, 11시 50분 자리가 있습니다. 어떤 시간이 편하신가요?"
9시로 해주세요. 아침 일찍 보고 학교 가야 돼서요.,알겠습니다. 내일 오전 9시 내과 진료로 예약 도와드렸습니다. 성함과 연락처 부탁드립니다.
"정민수, 010-1234-2222입니다.","네, 예약 완료되었고요. 초진이라 접수 시 신분증 지참하셔야 하고, 10분 전까지 도착 부탁드릴게요."
진료 끝나고 병원 안에 약국도 있나요?,"네, 건물 1층에 바로 연계된 약국이 있으니 처방 후 바로 조제받으실 수 있습니다."
"네, 안내 감사해요. 내일 뵐게요.","네, 건강 조심하시고 내일 뵙겠습니다."
"여보세요, 감기 기운이 심해서 내과 진료 예약하려고 전화드렸어요.","네, 안녕하세요. 내과 진료 예약 도와드리겠습니다. 언제쯤 방문 원하시나요?"
내일 오전에 시간이 될 것 같아서요. 오전 중에 가능한 시간대 있을까요?,"확인해보겠습니다. 내일 오전엔 10시 15분, 11시 30분 두 타임이 비어 있습니다."
그럼 10시 15분으로 예약해 주세요.,"네, 내일 오전 10시 15분 내과 진료로 예약 완료했습니다. 성함과 연락처 부탁드립니다."
"홍지우이고요, 번호는 010-9981-2468이에요.",확인됐습니다. 초진 접수이므로 신분증 지참해주시고 10분 전까지 병원에 도착 부탁드립니다.
"네, 참고로 혹시 병원이 지하철역이랑 가까운가요? 제가 대중교통을 이용할 것 같아서요.","네, 3호선 OOO역 4번 출구에서 도보 3분 거리입니다. 오시기 편하실 거예요."
감사합니다! 내일 뵐게요.,"네, 조심히 오세요. 쾌유를 빕니다."
"안녕하세요. 학생인데요, 감기 때문에 진료 예약 좀 하려고요.","네, 내과 진료 예약 도와드릴게요. 혹시 원하시는 날짜와 시간 있으세요?"
"내일 오전에 예약하고 싶은데, 11시 이전이면 좋겠어요. 수업이 있어서요.",확인해보겠습니다. 오전 9시 40분과 10시 30분 자리가 있습니다. 어떤 시간이 괜찮으세요?
그럼 9시 40분이요. 최대한 일찍 보고 가야 해서요.,"네, 9시 40분 내과 진료로 예약 도와드렸습니다. 성함이랑 연락처 알려주시겠어요?"
"박윤서, 010-1144-7788입니다.","예약 완료됐습니다. 초진 접수 있으니 신분증 지참하시고, 진료 시작 10분 전까지 도착 부탁드릴게요."
"네, 감사합니다. 참고로 병원 들어가면 접수 데스크 바로 보여요?","네, 입구 들어오시면 바로 왼쪽에 접수처 있습니다."
알겠습니다. 내일 뵙겠습니다!,"네, 조심히 오세요."
"여보세요, 요 며칠 목도 따갑고 기침이 너무 심해서 내과 예약하고 싶어요.","네, 내과 진료 예약 도와드릴게요. 진료는 언제쯤 원하시나요?"
내일 오전에 예약하고 싶은데요. 대기 오래 걸리진 않나요?,"시간대에 따라 다른데요, 9시대는 비교적 여유 있고, 11시는 대기 환자가 좀 많습니다."
그럼 9시대가 좋겠어요. 9시 40분쯤은 어때요?,"네, 9시 40분 가능합니다. 성함과 연락처 알려주세요."
"이은결이고, 010-7788-4411이에요.","네, 예약 완료되었습니다. 초진 접수 있으니 신분증 꼭 챙겨주세요."
"네, 마스크 꼭 쓰고 갈게요. 감사합니다.","네, 내일 뵙겠습니다."
"여보세요, 감기 때문에 진료 예약 좀 하려고요. 열이랑 기침이 심해서요.","네, 내과 진료 예약 도와드릴게요. 원하시는 날짜나 시간 있으실까요?"
내일 오전 중으로 가능할까요?,"확인해보겠습니다. 내일 오전에는 9시 30분과 11시 10분 자리가 비어 있는데요, 어느 쪽이 괜찮으세요?"
그럼 9시 30분으로 부탁드릴게요.,"네, 9시 30분 내과 진료로 예약 도와드렸습니다. 성함과 연락처 확인 부탁드립니다."
"홍은비이고요, 전화번호는 010-2345-6789입니다.","네, 확인되었습니다. 초진 예약이시라 접수 시 신분증 지참 부탁드리고, 진료 시작 10분 전까지 도착해 주세요."
"네, 알겠습니다. 주차는 가능할까요?","네, 지하 1층에 환자용 주차 공간 마련되어 있고 접수 시 차량 번호 알려주시면 무료 등록 도와드립니다."
감사합니다. 그럼 내일 뵐게요.,"네, 조심히 오세요. 빠른 쾌유를 바랍니다."
"여보세요, 감기 증상 때문에 예약 좀 하려고요. 몸살도 심하고 목도 많이 아파서요.","네, 내과 진료 예약 도와드리겠습니다. 내일 오전 중에 방문 가능하신가요?"
"네, 오전 중에 가능한 시간 있으면 좋겠어요.",내일 오전엔 9시 30분과 10시 45분이 가능합니다. 어떤 시간이 편하실까요?
9시 30분으로 할게요.,"네, 예약 도와드렸습니다. 성함과 연락처 알려주시겠어요?"
"박예린이고요, 010-3499-7744입니다.","네, 확인되었습니다. 초진 접수 있으니 진료 10분 전까지 오시고, 신분증 지참해 주세요."
"네, 내일 뵙겠습니다.","네, 조심히 오세요. 감사합니다."
안녕하세요. 감기 기운이 너무 심해서 내과 예약 좀 하고 싶어요.,"네, 예약 도와드릴게요. 내일 오전 중에 진료 원하시나요?"
"네, 수업 전에 들러야 해서 오전 시간대가 좋아요.",확인해보니 내일 오전 10시와 11시 20분이 비어 있습니다. 어느 시간대가 괜찮으세요?
10시로 예약해 주세요.,"네, 10시 내과 진료 예약 완료되었습니다. 성함과 전화번호 확인 부탁드립니다."
최승아입니다. 번호는 010-7272-6677이에요.,"확인되었습니다. 초진 접수 있으니 신분증 지참하시고, 진료 시간 10분 전까지 도착 부탁드립니다."
"네, 감사합니다. 그 시간에 맞춰 갈게요.","네, 내일 뵙겠습니다. 쾌유하시길 바랍니다."
안녕하세요. 기침이 너무 심해서 내일 내과 진료 예약하려고요.,"네, 내과 진료 예약 도와드리겠습니다. 내일 오전 중에 원하시나요?"
"네, 수업 전에 들러야 해서 오전 9시쯤 가능할까요?",확인해보니 9시 정각과 10시 10분 중 선택 가능하세요. 어떤 시간이 편하실까요?
9시 정각으로 해주세요.,"네, 내일 오전 9시 내과 진료로 예약 도와드렸습니다. 성함과 연락처 알려주세요."
"전 강민지이고요, 010-7123-4456입니다.",확인되었습니다. 초진 접수 있으니 신분증 지참해주시고 진료 10분 전까지 도착해 주세요.
"네, 감사합니다. 내일 뵐게요.","네, 조심히 오세요."
"여보세요, 감기 기운이 심해서 내일 진료 예약하려고요.","네, 안녕하세요. 내과 진료 예약 도와드릴게요. 원하시는 시간대 있으세요?"
오전 중에 아무 시간이나 괜찮아요.,내일 오전 10시 40분과 11시 50분이 비어 있습니다. 어느 쪽으로 도와드릴까요?
10시 40분으로 부탁드릴게요.,"네, 예약 완료되었습니다. 성함과 연락처 확인 부탁드립니다."
"이름은 이다연이고요, 전화번호는 010-4455-8910입니다.","네, 확인되었습니다. 10분 전 도착해주시고 신분증 꼭 지참해 주세요."
감사합니다.,"네, 내일 뵙겠습니다."
안녕하세요. 감기 때문에 진료 예약 좀 하려고요. 열이 계속 나서요.,"네, 도와드리겠습니다. 내일 오전 중에 괜찮으세요?"
"네, 오전 중에 가능한 시간 있나요?",확인해보니 9시 20분과 10시 30분 있습니다.
그럼 10시 30분으로 예약할게요.,"네, 예약 도와드렸습니다. 성함과 연락처 알려주시겠어요?"
"윤지영이고요, 010-6532-1992예요.",확인되었습니다. 진료 전 접수 절차 있으니 여유 있게 도착해 주세요.
"네, 감사합니다.",내일 뵙겠습니다. 조심히 오세요.
안녕하세요. 감기에 몸살까지 겹쳐서 진료 예약하고 싶어요.,"네, 내과 예약 도와드릴게요. 내일 오전 중 진료 원하시나요?"
"네, 오전 11시쯤 가능할까요?",확인해보니 11시 10분 자리가 있습니다.
그 시간으로 부탁드릴게요.,"네, 예약 완료했습니다. 성함과 연락처 알려주세요."
"최은지, 010-8833-4091입니다.",확인되었습니다. 초진이시니 신분증 지참 부탁드립니다.
알겠습니다. 감사합니다.,"네, 쾌유하시길 바랍니다. 내일 뵙겠습니다."
