prompt,completion
음... 오늘 오후 3시 50분으로 변경하는 게 가장 좋을 것 같아요. 그렇게 변경 가능할까요?,"네, 홍길동님, 오후 3시 50분으로 변경 처리 도와드리겠습니다. 혹시 더 궁금하신 점은 없으실까요?"
"아니요, 그 정도면 됐습니다. 정말 감사합니다!","네, 진료 10분 전까지는 병원에 도착해주시면 감사하겠습니다. 조심히 오세요."
"네, 알겠습니다. 수고하세요.","네, 감사합니다."
경희내과죠? 진료 시간 변경 좀 하려고요.,"네, 성함이 어떻게 되시죠?"
홍길동입니다. 오늘 오전 11시 예약돼 있었어요.,"네, 홍길동님. 확인됐습니다. 오후로 바꾸시려구요?"
"네, 오후 가능한 시간 알려주세요.","오후 2시 30분, 3시 50분, 5시 10분 비어 있습니다."
3시 50분으로 해주세요.,"네, 3시 50분으로 변경해드렸습니다."
감사합니다.,"네, 조심히 오세요."
"안녕하세요, 경희내과죠? 오늘 진료 시간 변경 때문에 전화드렸어요.","네, 안녕하세요. 성함과 예약 시간을 말씀해주시겠어요?"
"홍길동입니다. 오늘 오전 11시 내과 진료 예약이 있어요. 근데 갑자기 일이 생겨서요, 혹시 오늘 2시쯤으로 변경 가능할까요?","(확인 후) 죄송합니다, 홍길동님. 오늘 오후 2시 타임은 이미 예약이 차서 어렵습니다. 혹시 3시 이후 시간대는 어떠실까요?"
"아, 2시는 안 되나요? 그럼 3시 이후에는 몇 시쯤 가능할까요? 혹시 오후에 제가 서류를 받아야 하는데, 진료 후에 바로 받을 수 있을지도 궁금해요.","네, 3시 이후에는 현재 3시 50분과 5시 10분 타임이 가능합니다. 진료 후 서류 발급은 보통 10분 정도 소요되는데, 어떤 서류인지 미리 말씀해주시면 준비해두겠습니다."
"아, 네, 진료 확인서요. 그럼 3시 50분으로 변경하고 진료 확인서는 미리 준비 부탁드릴게요.","네, 알겠습니다. 3시 50분으로 변경하고 진료 확인서도 미리 준비해두겠습니다. 진료 10분 전까지 도착 부탁드립니다."
감사합니다!,"네, 조심히 오세요."
안녕하세요! 경희내과 맞죠? 저 오늘 진료 시간 좀 바꿀 수 있나 해서 전화드렸어요.,"네, 맞아요! 혹시 성함이랑 언제 예약이셨을까요?"
"아, 네네. 저 홍길동인데요, 오늘 오전 11시에 내과 진료 예약돼 있었거든요. 갑자기 좀 일이 생겨서요.","아, 홍길동님. 네네. 잠깐만요, 확인해볼게요. 네, 오전 11시 맞으시죠? 오후로 바꾸고 싶으시다고요?"
"네, 맞아요. 혹시 오후에 언제쯤 괜찮을까요? 제가 시간이 좀 애매해서요.","음, 네. 지금 오후에는 2시 30분, 3시 50분, 그리고 5시 10분 이렇게 세 타임 정도 비네요. 이 중에 괜찮은 시간 있으세요?"
으음... 3시 50분이 딱 좋겠네요! 그걸로 바꿔주실 수 있을까요?,"네, 그럼요! 3시 50분으로 변경 처리 바로 해드릴게요. 오실 때 진료 10분 전까지만 와주시면 돼요."
네! 고맙습니다!,"네, 조심히 오시구요!"
"네, 수고하세요!","네, 감사합니다."
"여보세요, 경희내과죠? 오늘 진료 시간 변경 때문에 전화드렸습니다.","네, 경희내과입니다. 어떤 문의이실까요?"
"제가 오늘 오전 11시에 홍길동 이름으로 내과 진료 예약이 되어 있었는데요, 갑자기 일정이 생겨서요. 혹시 오후 시간대로 변경이 가능할지 해서 연락드렸습니다. 오후에 혹시 몇 시부터 진료가 가능할까요?","네, 홍길동님. 확인 도와드리겠습니다. 오늘 오후에는 2시부터 진료가 시작됩니다."
"아, 2시부터요? 그럼 혹시 2시 이후로 바로 예약 가능한 시간이 있을까요?","2시 30분, 3시 50분, 5시 10분 이렇게 가능합니다."
그럼 혹시 3시 50분은 비어 있을까요? 제가 그때쯤 도착할 수 있을 것 같아서요.,"네, 3시 50분 가능합니다. 변경해드릴까요?"
"네, 그럼 3시 50분으로 변경 부탁드립니다. 감사합니다.","네, 3시 50분으로 변경해드렸습니다."
"안녕하세요, 경희내과인데요. 제가 오늘 진료 예약을 좀 바꿔야 할 것 같아서요.","네, 성함과 예약 시간을 말씀해주세요."
"홍길동이고, 오늘 오전 11시 내과 예약돼 있었어요. 오후로 바꾸고 싶은데, 혹시 오후에 어떤 시간대가 비어 있는지 전부 알려주실 수 있을까요?","네, 홍길동님. 확인해 드리겠습니다. 현재 오후에는 2시 30분, 3시 50분, 5시 10분이 비어 있습니다."
"아, 세 군데 있네요. 그럼 혹시 그 중에서 가장 빠른 시간은 몇 시인가요?",가장 빠른 시간은 2시 30분입니다.
2시 30분은 좀 빠를 것 같은데요. 혹시 3시 50분과 5시 10분 중에서 좀 더 여유 있는 시간이 있을까요?,"네, 3시 50분과 5시 10분 모두 여유가 있습니다."
그럼 혹시 3시 50분 예약은 몇 시까지 병원에 도착해야 할까요?,3시 50분 예약은 3시 40분까지 도착해주시면 됩니다.
"네, 그럼 3시 50분으로 변경 부탁드릴게요. 감사합니다!","네, 그렇게 변경해드리겠습니다."
"여보세요, 경희내과인가요? 제가 오늘 오전에 예약이 있었는데, 갑자기 아이가 아파서요. 진료 시간 좀 변경할 수 있을지 해서 전화드렸습니다.","네, 불편하시겠네요. 성함과 원래 예약 시간을 말씀해주세요."
"홍길동이고, 오늘 오전 11시에 예약돼 있었어요. 혹시 오늘 오후에 아이랑 같이 가도 괜찮은 시간이 있을까요? 아니면 내일이라도 좀 더 여유 있는 시간은 없을까요?","네, 홍길동님. 오늘 오후에는 3시 50분 진료가 가능하시고, 내일은 오전 10시 30분과 오후 4시 20분 진료가 가능합니다."
"아, 그렇군요. 그럼 오늘 3시 50분은 진료 시간이 얼마나 걸릴까요? 아이가 좀 어려서요.",진료는 대략 15분 정도 소요됩니다.
혹시 3시 50분에 예약하면 대기 시간은 길지 않을까요? 아이가 보채면 좀 힘들어서요.,"보통 그 시간대에는 대기가 길지 않습니다만, 당일 상황에 따라 유동적일 수 있습니다."
"네, 알겠습니다. 그럼 오늘 3시 50분으로 변경 부탁드릴게요.","네, 그렇게 변경해드리겠습니다."
"안녕하세요, 경희내과입니다. 진료 시간 좀 변경할 수 있을까요?","네, 성함 말씀해주세요."
홍길동입니다. 오늘 오전 11시 예약이었어요. 혹시 오후에 언제 가능해요?,"네, 오후 2시 30분, 3시 50분, 5시 10분 가능합니다."
그럼 혹시 3시 50분으로 바꿔도 괜찮을까요?,"네, 가능합니다."
다른 필요한 정보는 없을까요?,"아니요, 없습니다."
"네, 감사합니다.","네, 조심히 오세요."
"여보세요, 경희내과죠? 제가 오늘 예약을 취소해야 할 것 같아서 전화드렸는데요.","네, 성함이 어떻게 되실까요?"
홍길동입니다. 오늘 오전 11시에 예약돼 있었어요. 혹시 오늘 취소하면 언제 다시 예약할 수 있을까요?,"홍길동님, 잠시만요. 예약 취소 전에 혹시 오늘 오후나 내일 시간대 변경은 어떠실까요? 오후에 가능한 시간이 몇 군데 있긴 합니다만."
"아, 그래요? 그럼 오후에 어떤 시간대가 가능할까요? 제가 취소하고 다시 예약하는 것보다 변경하는 게 나을 것 같아서요.","네, 오늘 오후에는 2시 30분, 3시 50분, 5시 10분 이렇게 가능합니다."
혹시 3시 50분으로 변경해도 제가 추가로 지불해야 하는 비용은 없을까요?,"아니요, 추가 비용은 발생하지 않습니다."
그럼 3시 50분으로 변경 부탁드릴게요. 취소까지 안 해도 된다니 다행이네요.,"네, 그렇게 변경해드리겠습니다."
"안녕하세요, 경희내과입니다. 제가 오늘 진료 시간 변경 때문에 전화드렸어요.","네, 성함 말씀해주세요."
"홍길동이고, 오늘 오전 11시 내과 예약이요. 제가 혹시 오늘 오후 3시에서 4시 사이에 진료를 받을 수 있을까요? 그 시간대에 가능한 시간이 있는지 확인해주실 수 있을까요?","네, 홍길동님. 잠시만요. 네, 3시 50분 타임이 가능합니다."
"아, 그럼 3시 50분 말고는 다른 시간대는 없을까요? 혹시라도 조금 더 일찍이나 늦게는요?","죄송합니다만, 3시에서 4시 사이에는 3시 50분 타임이 유일합니다. 다른 시간대는 이미 예약이 차 있습니다."
"네, 알겠습니다. 그럼 3시 50분으로 변경 부탁드릴게요.","네, 그렇게 변경해드리겠습니다."
"여보세요, 경희내과죠? 저 오늘 진료 시간 좀 변경하고 싶은데, 궁금한 게 몇 가지 있어서요.","네, 말씀해주세요. 성함과 예약 시간 알려주시겠어요?"
홍길동입니다. 오늘 오전 11시 예약돼 있었어요. 오후로 변경 가능한 시간대가 있을까요? 그리고 혹시 주차는 어디에 하는 게 가장 편할까요?,"네, 홍길동님. 오후에는 2시 30분, 3시 50분, 5시 10분 이렇게 가능합니다. 주차는 병원 건물 지하 주차장을 이용하시면 됩니다."
"아, 지하 주차장이요. 그럼 주차는 몇 시부터 몇 시까지 이용 가능한가요? 그리고 3시 50분으로 바꾸면 혹시 주차권도 받을 수 있을까요?","지하 주차장은 병원 진료 시간 내내 이용 가능하시고, 진료 시 주차권도 제공됩니다."
"네, 좋아요. 그럼 3시 50분으로 변경 부탁드립니다. 감사합니다!","네, 그렇게 변경해드리겠습니다."
"안녕하세요, 경희내과입니다. 저 오늘 오전에 예약인데, 갑자기 몸이 좀 안 좋아서요. 진료는 받아야 하는데 시간이 좀 애매해서요.","네, 성함과 예약 시간을 말씀해주세요."
"홍길동이고 오늘 오전 11시 내과 예약이요. 혹시 오늘 오후에 몸 상태를 봐서 갈 수 있을지 없을지 모르겠는데, 그래도 예약 변경이 가능할까요?","네, 홍길동님. 일단 오후 시간대로 변경은 가능합니다. 오늘 오후 2시 30분, 3시 50분, 5시 10분 중 한 시간대를 선택하실 수 있습니다."
"만약 변경했는데도 제가 못 가게 되면, 또 다시 전화해서 취소해야 하는 건가요?","네, 만약 변경 후에도 방문이 어려우시면 다시 연락 주셔서 취소해주시면 됩니다."
"그럼 혹시 3시 50분으로 변경해두면, 제가 몇 시까지 연락을 드려야 취소가 가능할까요?",진료 시작 최소 30분 전까지 연락 주시면 됩니다.
"네, 알겠습니다. 그럼 일단 3시 50분으로 변경 부탁드릴게요. 감사합니다.","네, 그렇게 변경해드리겠습니다."
"여보세요, 경희내과죠? 제가 오늘 진료 예약이 되어 있어서 전화드렸는데요, 혹시 진료 시간 변경이 가능할지 해서 문의드립니다.","네, 경희내과입니다. 어떤 문의이실까요?"
"아, 네. 제가 홍길동인데요, 오늘 오전 11시에 내과 진료로 예약이 되어 있었거든요. 전화번호는 010-1234-5678입니다. 갑자기 오후에 중요한 일정이 생기는 바람에 도저히 오전에 맞춰서 가기가 어렵게 되었어요.","네, 예약 확인 도와드리겠습니다. 오전 진료 예약 내역이 확인되었습니다. 진료 시간 변경을 원하시는군요. 혹시 어떤 시간대로 변경을 원하시는지 알려주실 수 있으실까요?"
"네, 오늘 오후 진료가 비어 있는 시간이 있을까요? 아니면 내일이라도 괜찮은데, 가능한 시간대가 언제쯤인지 좀 알려주실 수 있을까요?","네, 불편하시겠지만 시간 변경을 도와드릴 수 있도록 최대한 노력하겠습니다. 우선 오늘 오후 시간부터 확인해 볼까요? 현재 오후에는 2시 30분과 3시 50분 진료가 가능합니다. 내일은 오전 10시와 오후 4시 20분이 비어있습니다. 어느 시간이 괜찮으실까요?"
음... 오늘 오후 3시 50분으로 변경하는 게 가장 좋을 것 같아요. 그렇게 변경 가능할까요?,"네, 3시 50분으로 변경 처리가 가능합니다. 혹시 더 궁금하신 점은 없으실까요?"
"아니요, 그 정도면 됐습니다. 정말 감사합니다!","네, 진료 10분 전까지는 병원에 도착해주시면 감사하겠습니다. 조심히 오세요."
"네, 알겠습니다. 수고하세요.","네, 감사합니다."
"여보세요? 경희내과 맞으시죠? 저 오늘 진료 예약이 있어서 전화했는데, 시간 좀 바꿀 수 있을까 해서요.","네, 맞습니다! 어떤 도움 드릴까요?"
"아, 네네. 제가홍길동인데, 오늘 오전 11시에 내과 진료 예약이 있었거든요. 근데 갑자기 좀 일이 생겨가지구요. 혹시 오늘 오후에 빈 시간 있을까요?","네, 예약 내역은 확인됩니다. 오후에 몇 시쯤 생각하고 계세요?"
"음... 정확히 정하긴 어려운데,혹시 가능한 시간대가 몇 시쯤 되는지 알려주실 수 있으세요?","네, 한번 봐드릴게요. 현재 오후에는 2시 반, 3시 50분, 그리고 5시 10분 이렇게 세 타임 가능합니다."
"아하, 그럼3시 50분이 딱 좋을 것 같은데요! 그걸로 바꿔주시면 안 될까요?","네, 가능합니다! 그렇게 바꿔드릴게요."
네! 고맙습니다!,별말씀을요. 조심히 오세요!
"안녕하세요, 경희내과인가요? 제가 오늘 예약 때문에 전화했는데... 혹시 진료 시간 변경도 가능한가요?","네, 가능합니다. 어떤 문의이실까요?"
"제가홍길동인데, 오늘 오전 11시에 내과 진료 예약이었거든요.혹시 오늘 오후에 바꿀 수 있는 시간이 있긴 한가요?아니면내일은 어떤가요?","네, 예약 내역은 확인됩니다. 오늘 오후 시간이나 내일 시간 모두 확인해 드릴 수 있어요. 어느 쪽부터 보아드릴까요?"
"음...오늘 오후에 빈자리가 있다면 오늘로 바꾸고 싶은데요, 몇 시부터 비어있는지 알 수 있을까요?","네, 지금 보니 2시 반부터 시작해서 빈 시간은 있어요."
2시 반이요?그럼 혹시 3시 넘어서도 가능한 시간이 있나요?너무 일찍 가기는 좀 힘들어서요.,"네, 그럼요. 3시 50분과 5시 10분도 가능합니다."
"아, 네.그럼 3시 50분으로 변경하면 제가 뭘 더 해야 할 게 있을까요?","아니요, 없어요. 그대로 변경 도와드릴게요."
"네,그럼 3시 50분으로 부탁드릴게요.정말 감사합니다!","네, 그렇게 처리해드렸습니다."
여보세요! 경희내과 맞죠? 저 오늘 진료 예약 시간 좀 급하게 바꿔야 해서요!,"네, 맞습니다! 무슨 일이실까요?"
"저홍길동인데요, 오늘 오전 11시 예약인데 갑자기 일이 생겨서요!혹시 오늘 오후에 당장 갈 수 있는 시간이 있을까요?","네, 예약 내역은 확인됩니다. 오늘 오후에 2시 반이나 3시 50분, 5시 10분 이렇게 가능하세요."
"으악,3시 50분이요?그게 오늘 제일 빨리 갈 수 있는 시간인가요?","아니요, 2시 30분이 제일 빠릅니다."
아... 2시 반은 좀 힘들 것 같고...그럼 3시 50분으로 바꾸면 오늘 안에 진료 볼 수 있는 거죠?,"네, 그럼요. 3시 50분 진료 가능합니다."
"네, 그럼3시 50분으로 바꿔주세요!고맙습니다!","네, 바로 처리해드렸습니다."
경희내과죠? 진료 예약 바꿀 수 있나요?,"네, 성함이 어떻게 되실까요?"
홍길동요. 오늘 오전 11시 예약돼 있었어요.오후 언제 가능해요?,"네, 확인됩니다. 오후 2시 반, 3시 50분, 5시 10분 가능합니다."
3시 50분으로 해주세요.,"네, 그렇게 도와드릴게요."
끝인가요?,"네, 변경 완료되었습니다."
감사합니다.,"네, 조심히 오세요."
"안녕하세요, 경희내과죠? 제가 오늘 예약을 좀 바꿔야 할 것 같아요.애기랑 같이 갈 건데, 혹시 오후에 괜찮은 시간 있을까요?","네, 성함 알려주세요."
홍길동입니다. 오늘 오전 11시 예약이요.애기랑 같이 가도 괜찮은 시간으로요.,"네, 확인됩니다. 오후 2시 반, 3시 50분, 5시 10분 가능합니다. 편하신 시간으로 선택해주세요."
"음...애기가 낮잠을 자야 해서 3시 50분쯤이 좋을 것 같은데, 그때 좀 붐비나요?",보통 그 시간대는 아주 붐비지는 않습니다.
"그럼 3시 50분으로 변경 부탁드리고, 혹시 애기 의자 같은 것도 준비돼 있을까요?","네, 유아용 의자 있습니다. 3시 50분으로 변경해드렸어요."
"네, 감사합니다!","네, 조심히 오세요."
"여보세요, 경희내과인가요? 오늘 진료 시간 좀 변경하고 싶은데요.","네, 어떤 도움 드릴까요?"
"저홍길동인데, 오늘 오전 11시 내과 예약이었거든요.혹시 오후로 바꾸고 싶은데 가능한 시간대가 있을까요? 그리고 진료 후에 진료 확인서도 바로 받을 수 있을까요?","네, 예약 내역은 확인됩니다. 오후 2시 반, 3시 50분, 5시 10분 진료 가능하시고요. 진료 확인서는 말씀해주시면 바로 발급 가능합니다."
"아, 네.그럼 3시 50분으로 바꾸면 진료 확인서도 바로 받을 수 있는 거죠?기다려야 하는 건 아니고요?","네, 그럼요. 말씀해주시면 바로 처리해드릴 거예요."
좋아요!그럼 3시 50분으로 변경 부탁드립니다!,"네, 그렇게 바꿔드렸어요."
"네, 고맙습니다!","네, 오실 때 다시 뵐게요!"
"안녕하세요... 경희내과죠? 제가 오늘 진료 예약이 있는데... 아, 그 시간 좀 바꾸고 싶어서 전화했어요.","네, 성함이 어떻게 되실까요?"
"아, 네.홍길동입니다. 오늘 오전 11시 예약이었어요.근데 제가 너무 정신이 없어서... 혹시 오후에 언제쯤 가는 게 좋을지 추천해주실 수 있을까요?","네, 예약 내역은 확인됩니다. 현재 오후에는 2시 반, 3시 50분, 5시 10분이 비어있습니다.혹시 몇 시쯤이 가장 편하실지 생각해 보셨나요?"
으음... 다 비슷비슷한 것 같기도 하고...혹시 3시 50분 예약은 많이 기다려야 할까요?,보통 그 시간대는 괜찮습니다.
"아, 그렇군요.그럼 3시 50분으로 변경하면 제가 나중에 따로 전화해서 확인 안 해도 되는 거죠?","네, 그럼요. 바로 처리될 겁니다."
"네,그럼 3시 50분으로 부탁드릴게요.아휴, 감사합니다.","네, 편하게 오세요."
"경희내과입니다. 저홍길동, 오늘 오전 11시 예약이에요. 오후로 변경해주세요.","네, 변경 요청 확인했습니다."
오후 언제 가능하죠?,"오후 2시 반, 3시 50분, 5시 10분 가능합니다."
3시 50분.,"네, 3시 50분으로 변경해드릴까요?"
네.,"네, 처리되었습니다."
됐나요?,"네, 완료되었습니다."
"안녕하세요, 경희내과죠? 저 진료 시간 좀 변경하고 싶어서요.","네, 성함과 예약 시간 알려주세요."
홍길동입니다. 오늘 오전 11시 예약이요.혹시 오늘 오후에 빈자리가 없으면 내일로 바꿀 수도 있나요?,"네, 예약 내역 확인했습니다. 오늘 오후에는 2시 반, 3시 50분, 5시 10분이 가능하고요. 내일은 오전 10시, 오후 4시 20분이 가능합니다."
으음...오늘 오후 3시 50분이랑 내일 오전 10시 중에 뭐가 더 빨리 끝날까요?,그건 진료 상황에 따라 다를 수 있습니다.
그럼 혹시 내일 오전 10시로 바꾸면 오늘 전화 안 해도 되는 거죠?,"네, 그럼요. 바로 변경해드립니다."
"네,그럼 내일 오전 10시로 변경 부탁드릴게요.","네, 그렇게 도와드리겠습니다."
여보세요! 경희내과 맞죠? 저 오늘 진료 시간 바꾸려고 전화했는데요.제가 먼저 필요한 정보를 말씀드릴까요?,"네, 성함과 원래 예약 시간을 말씀해주시면 됩니다."
"네,홍길동이고 오늘 오전 11시에 내과 진료 예약입니다.오후로 변경하고 싶은데, 가능한 시간대를 먼저 알려주실 수 있으신가요?","네, 예약 내역 확인했습니다. 오늘 오후 2시 반, 3시 50분, 5시 10분이 비어있습니다."
그럼 혹시 이 중에서 가장 인기 있는 시간대는 몇 시인가요?아니면비교적 한가한 시간대는 어디예요?,보통 3시 50분대가 무난하게 진료가 이루어집니다.
"아, 그렇군요.그럼 3시 50분으로 변경했을 때, 혹시 제가 병원에 도착하기까지 몇 분 정도 여유를 두는 게 좋을까요?",진료 10분 전까지 도착하시면 좋습니다.
"네, 알겠습니다.그럼 3시 50분으로 변경 부탁드릴게요.고맙습니다!","네, 그렇게 처리해드렸습니다."
