prompt,completion
2시는 조금 빠르니까 3시 15분으로 부탁드릴게요.,"네, 3시 15분으로 예약 변경 처리했습니다. 감사합니다."
"네, 수고 많으세요. 감사합니다.","네, 감사합니다."
"여보세요, 오늘 오전 11시에 경희 내과 예약한 홍길동인데요. 갑자기 외부 미팅이 생겨서 진료 시간을 오후로 바꿀 수 있을까요?","네, 확인 도와드릴게요. 전화번호 010-1234-5678 맞으시죠?"
네 맞아요.,확인됐습니다. 오후에 1시 반이나 4시 자리 가능하신데 어느 쪽이 괜찮으세요?
4시쯤이 편하겠네요. 그 시간으로 변경 부탁드려요.,"네, 4시로 변경 완료되었습니다. 진료 전 10분까지 오시면 됩니다."
"네, 감사합니다.",좋은 하루 되세요.
"안녕하세요. 오늘 2025년 7월 1일 화요일 오전 11시에 경희 내과 예약돼 있는데, 갑자기 일정이 생겨서 진료를 오후로 미룰 수 있을까요?","네, 확인 도와드릴게요. 성함이랑 전화번호 알려주시겠어요?"
"홍길동이고요, 전화번호는 010-1234-5678입니다.","네, 확인되었습니다. 현재 오전 11시 예약 되어 있고요, 오후 1시 20분, 2시 50분, 4시 40분 예약 가능합니다. 어느 시간이 괜찮으세요?"
2시 50분이 괜찮을 것 같아요.,"네, 2시 50분으로 변경 완료했습니다. 진료 10분 전까지 도착 부탁드려요."
"네, 감사합니다. 그 시간에 뵐게요.","네, 뵙겠습니다."
"여보세요, 경희내과죠? 오늘 진료 시간 변경 때문에 전화드렸습니다.","네, 경희내과입니다. 성함 먼저 말씀해주시겠어요?"
"제가 오늘 오전 11시에 홍길동 이름으로 내과 진료 예약이 되어 있었는데요, 갑자기 일정이 생겨서요. 혹시 오후 시간대로 변경이 가능할지 해서 연락드렸습니다.","아, 네. 홍길동님. 예약 확인 도와드리겠습니다. 11시 확인되셨고요. 오후 언제로 변경해드리면 될까요?"
"정확한 시간을 정하기가 어려워서요, 혹시 오후에 가능한 시간대를 몇 군데 알려주실 수 있으실까요?","네, 확인해드리겠습니다. 현재 오후에는 2시 30분, 3시 30분, 그리고 5시 30분 이렇게 세 타임이 비어 있습니다. 이 중에서 편하신 시간이 있으실까요?"
음... 3시 50분으로 변경 부탁드릴 수 있을까요?,"네, 알겠습니다. 오후 3시 50분으로 변경 처리 도와드리겠습니다. 진료 10분 전까지는 도착해주세요."
"네, 정말 감사합니다!",또 다른 궁금한 점은 없으실까요?
"아니요, 없습니다. 수고하세요.","네, 조심히 오세요."
안녕하세요! 경희내과 맞죠? 저 오늘 진료 시간 좀 바꿀 수 있나 해서 전화드렸어요.,"네, 맞아요! 혹시 성함이랑 언제 예약이셨을까요?"
"아, 네네. 저 홍길동인데요, 오늘 오전 11시에 내과 진료 예약돼 있었거든요. 갑자기 좀 일이 생겨서요.","아, 홍길동님. 네네. 잠깐만요, 확인해볼게요. 네, 오전 11시 맞으시죠? 오후로 바꾸고 싶으시다고요?"
"네, 맞아요. 혹시 오후에 언제쯤 괜찮을까요? 제가 시간이 좀 애매해서요.","음, 네. 지금 오후에는 2시 30분, 3시 50분, 그리고 5시 10분 이렇게 세 타임 정도 비네요. 이 중에 괜찮은 시간 있으세요?"
으음... 3시 50분이 딱 좋겠네요! 그걸로 바꿔주실 수 있을까요?,"네, 그럼요! 3시 50분으로 변경 처리 바로 해드릴게요. 오실 때 진료 10분 전까지만 와주시면 돼요."
네! 고맙습니다!,"네, 조심히 오시구요!"
"네, 수고하세요!","네, 감사합니다."
"여보세요, 경희내과죠? 오늘 진료 시간 변경 때문에 전화드렸습니다.","네, 경희내과입니다. 어떤 문의이실까요?"
"제가 오늘 오전 11시에 홍길동 이름으로 내과 진료 예약이 되어 있었는데요, 갑자기 일정이 생겨서요. 혹시 오후 시간대로 변경이 가능할지 해서 연락드렸습니다. 오후에 혹시 몇 시부터 진료가 가능할까요?","네, 홍길동님. 확인 도와드리겠습니다. 오늘 오후에는 2시부터 진료가 시작됩니다."
"아, 2시부터요? 그럼 혹시 2시 이후로 바로 예약 가능한 시간이 있을까요?","2시 30분, 3시 50분, 5시 10분 이렇게 가능합니다."
그럼 혹시 3시 50분은 비어 있을까요? 제가 그때쯤 도착할 수 있을 것 같아서요.,"네, 3시 50분 가능합니다. 변경해드릴까요?"
"네, 그럼 3시 50분으로 변경 부탁드립니다. 감사합니다.","네, 3시 50분으로 변경해드렸습니다."
"안녕하세요, 경희내과입니다. 진료 시간 좀 변경할 수 있을까요?","네, 성함 말씀해주세요."
홍길동입니다. 오늘 오전 11시 예약이었어요. 혹시 오후에 언제 가능해요?,"네, 오후 2시 30분, 3시 50분, 5시 10분 가능합니다."
그럼 혹시 3시 50분으로 바꿔도 괜찮을까요?,"네, 가능합니다."
다른 필요한 정보는 없을까요?,"네네, 시간 맞춰서 내원해주시면 되세요."
"네, 감사합니다.","네, 감사합니다."
"여보세요, 경희내과죠? 제가 오늘 예약을 취소해야 할 것 같아서 전화드렸는데요.","네, 성함이 어떻게 되실까요?"
홍길동입니다. 오늘 오전 11시에 예약돼 있었어요. 혹시 오늘 취소하면 언제 다시 예약할 수 있을까요?,"홍길동님, 잠시만요. 예약 취소 전에 혹시 오늘 오후나 내일 시간대 변경은 어떠실까요? 오후에 가능한 시간이 몇 군데 있긴 합니다만."
"아, 그래요? 그럼 오후에 어떤 시간대가 가능할까요? 제가 취소하고 다시 예약하는 것보다 변경하는 게 나을 것 같아서요.","네, 오늘 오후에는 2시 30분, 3시 50분, 5시 10분 이렇게 가능합니다."
혹시 3시 50분으로 변경해도 제가 추가로 지불해야 하는 비용은 없을까요?,"아니요, 추가 비용은 발생하지 않습니다."
그럼 3시 50분으로 변경 부탁드릴게요. 취소까지 안 해도 된다니 다행이네요.,"네, 그렇게 변경해드릴게요. "
"안녕하세요, 경희내과입니다. 제가 오늘 진료 시간 변경 때문에 전화드렸어요.","네, 성함이랑 말씀해주시겠어요?"
"홍길동이고, 오늘 오전 11시 내과 예약이요. 제가 혹시 오늘 오후 3시에서 4시 사이에 진료를 받을 수 있을까요? 그 시간대에 가능한 시간이 있는지 확인해주실 수 있을까요?","네, 홍길동님. 잠시만요. 네, 3시 50분 타임이 가능합니다."
"아, 그럼 3시 50분 말고는 다른 시간대는 없을까요? 혹시라도 조금 더 일찍이나 늦게는요?","죄송합니다만, 3시에서 4시 사이에는 3시 50분 타임이 밖에 안되네요. 다른 시간대는 이미 예약이 차 있습니다."
"네, 알겠습니다. 그럼 3시 50분으로 변경 부탁드릴게요.","네, 그렇게 변경해드리겠습니다."
"여보세요, 경희내과죠? 저 오늘 진료 시간 좀 변경하고 싶은데, 궁금한 게 몇 가지 있어서요.","네, 말씀해주세요. 성함과 알려주시겠어요?"
홍길동입니다. 오늘 오전 11시 예약돼 있었어요. 오후로 변경 가능한 시간대가 있을까요? 그리고 혹시 주차는 어디에 하는 게 가장 편할까요?,"네, 홍길동님. 오후에는 2시 30분, 3시 50분, 5시 10분 이렇게 가능합니다. 주차는 병원 건물 지하 주차장을 이용하시면 됩니다."
"아, 지하 주차장이요. 그럼 주차는 몇 시부터 몇 시까지 이용 가능한가요? 그리고 3시 50분으로 바꾸면 혹시 주차권도 받을 수 있을까요?","지하 주차장은 병원 진료 시간 내내 이용 가능하시고, 진료 시 주차권도 제공됩니다."
"네, 좋아요. 그럼 3시 50분으로 변경 부탁드립니다. 감사합니다!","네, 그렇게 변경해드리겠습니다."
"안녕하세요, 경희내과입니다. 저 오늘 오전에 예약인데, 갑자기 몸이 좀 안 좋아서요. 진료는 받아야 하는데 시간이 좀 애매해서요.","네, 성함과 예약 시간을 말씀해주세요."
"홍길동이고 오늘 오전 11시 내과 예약이요. 혹시 오늘 오후에 몸 상태를 봐서 갈 수 있을지 없을지 모르겠는데, 그래도 예약 변경이 가능할까요?","네, 홍길동님. 일단 오후 시간대로 변경은 가능합니다. 오늘 오후 2시 30분, 3시 50분, 5시 10분 중 한 시간대를 선택하실 수 있습니다."
"만약 변경했는데도 제가 못 가게 되면, 또 다시 전화해서 취소해야 하는 건가요?","네, 만약 변경 후에도 방문이 어려우시면 다시 연락 주셔서 취소해주시면 되세요."
"그럼 혹시 3시 50분으로 변경해두면, 제가 몇 시까지 연락을 드려야 취소가 가능할까요?",진료 시작 최소 30분 전까지 연락 주시면 됩니다.
"네, 알겠습니다. 그럼 일단 3시 50분으로 변경 부탁드릴게요. 감사합니다.","네, 그렇게 변경해드리겠습니다."
"여보세요, 경희내과죠? 제가 오늘 진료 예약이 되어 있어서 전화드렸는데요, 혹시 진료 시간 변경이 가능할지 해서 문의드립니다.","네, 경희내과입니다. 어떤 문의이실까요?"
"아, 네네. 제가홍길동인데, 오늘 오전 11시에 내과 진료 예약이 있었거든요. 근데 갑자기 좀 일이 생겨가지구요. 혹시 오늘 오후에 빈 시간 있을까요?","네, 예약 내역은 확인됩니다. 오후에 몇 시쯤 생각하고 계세요?"
"음... 정확히 정하긴 어려운데,혹시 가능한 시간대가 몇 시쯤 되는지 알려주실 수 있으세요?","네, 한번 봐드릴게요. 현재 오후에는 2시 반, 3시 50분, 그리고 5시 10분 이렇게 세 타임 가능합니다."
"아하, 그럼3시 50분이 딱 좋을 것 같은데요! 그걸로 바꿔주시면 안 될까요?","네, 가능합니다! 그렇게 바꿔드릴게요."
네! 고맙습니다!,별말씀을요. 조심히 오세요!
"안녕하세요, 경희내과인가요? 제가 오늘 예약 때문에 전화했는데... 혹시 진료 시간 변경도 가능한가요?","네, 가능합니다. 어떤 문의이실까요?"
"제가홍길동인데, 오늘 오전 11시에 내과 진료 예약이었거든요.혹시 오늘 오후에 바꿀 수 있는 시간이 있긴 한가요?아니면내일은 어떤가요?","네, 예약 내역은 확인됩니다. 오늘 오후 시간이나 내일 시간 모두 확인해 드릴 수 있어요. 어느 쪽부터 보아드릴까요?"
"음...오늘 오후에 빈자리가 있다면 오늘로 바꾸고 싶은데요, 몇 시부터 비어있는지 알 수 있을까요?","네, 지금 보니 2시 반부터 시작해서 빈 시간은 있어요."
2시 반이요?그럼 혹시 3시 넘어서도 가능한 시간이 있나요?너무 일찍 가기는 좀 힘들어서요.,"네, 그럼요. 3시 50분과 5시 10분도 가능합니다."
"아, 네.그럼 3시 50분으로 변경하면 제가 뭘 더 해야 할 게 있을까요?","아니요, 없어요. 그대로 변경 도와드릴게요."
"네,그럼 3시 50분으로 부탁드릴게요.정말 감사합니다!","네, 그렇게 처리해드렸습니다."
여보세요! 경희내과 맞죠? 저 오늘 진료 예약 시간 좀 급하게 바꿔야 해서요!,"네, 맞습니다! 무슨 일이실까요?"
"저홍길동인데요, 오늘 오전 11시 예약인데 갑자기 일이 생겨서요!혹시 오늘 오후에 당장 갈 수 있는 시간이 있을까요?","네, 예약 내역은 확인됩니다. 오늘 오후에 2시 반이나 3시 50분, 5시 10분 이렇게 가능하세요."
"으악,3시 50분이요?그게 오늘 제일 빨리 갈 수 있는 시간인가요?","아니요, 2시 30분이 제일 빠릅니다."
아... 2시 반은 좀 힘들 것 같고...그럼 3시 50분으로 바꾸면 오늘 안에 진료 볼 수 있는 거죠?,"네, 그럼요. 3시 50분 진료 가능합니다."
"네, 그럼3시 50분으로 바꿔주세요!고맙습니다!","네, 바로 처리해드렸습니다."
경희내과죠? 진료 예약 바꿀 수 있나요?,"네, 성함이 어떻게 되실까요?"
홍길동요. 오늘 오전 11시 예약돼 있었어요.오후 언제 가능해요?,"네, 확인됩니다. 오후 2시 반, 3시 50분, 5시 10분 가능합니다."
3시 50분으로 해주세요.,"네, 그렇게 도와드릴게요."
끝인가요?,"네, 변경 완료되었습니다."
감사합니다.,"네, 조심히 오세요."
"여보세요? 제가 오늘 김철수 원장님 진료 예약이 있는데, 오후로 변경해도 계속 그분께 진료받을 수 있나요?","네, 성함과 예약 시간 알려주세요."
"홍길동인데, 오늘 오전 11시 예약이었어요.","네, 예약 내역 확인되었습니다. 죄송하지만 김철수 원장님은 오늘 오후 진료가 모두 마감되었습니다. 다른 원장님 진료를 받으시는 건 어떠실까요?"
"아, 그래요? 그럼 다른 원장님은 언제 가능한데요?","오후 2시 30분, 3시 50분, 5시 10분 진료가 가능합니다."
3시 50분으로 부탁드릴게요.,"네, 그렇게 변경해드리겠습니다."
"안녕하세요, 경희내과입니다. 제가 오늘 예약이 있는데 시간이 애매해서요, 혹시 지금 바로 가면 진료 볼 수 있을까요?","네, 성함과 예약 시간 알려주세요."
홍길동입니다. 오늘 오전 11시 예약이었어요.,"네, 예약 내역 확인되었습니다. 지금 오시면 대기 환자가 많아 진료까지 시간이 오래 걸릴 수 있습니다. 괜찮으시다면 오후 3시 50분이나 5시 10분으로 예약해드릴까요?"
"으음, 대기가 긴가요? 그럼 오후 3시 50분으로 바꿔주세요.","네, 그렇게 변경해드리겠습니다."
감사합니다.,"네, 조심히 오세요."
여보세요. 저 오늘 진료인데요. 제가 따로 먹는 약이 있는데 가져가야 하나요?,"네, 드시는 약이 있으시면 정확한 진료를 위해서 약 이름이 적힌 처방전이나 약을 가져와주시는 것이 좋습니다."
"아 네, 그리고 예약 변경 하고싶은데 가능하죠?","네네, 언제로 변경 원하실까요?"
오늘 1시로 가능한가요?,"아, 죄송하지만 1시는 예약이 마감되었고요, 4시 이후로 예약 가능하세요."
아 그러면 5시로 해주세요.,"네, 예약 변경 되셨고요. 다른 문의사항 또 없으신가요?"
네네. ,네. 감사합니다. 좋은하루 보내세요.
안녕하세요. 오늘 진료 예약이 있는데... 혹시 진료비는 카드로 결제할 수 있나요?,"네, 카드 결제 가능합니다. 다른 거 도와드릴 거 또 있나요?"
네네. ,"네, 무엇을 도와드릴까요?"
마스크 쓰고 가야되나요?,마스크는 자율적으로 착용하시면 됩니다.
"여보세요, 홍길동인데 오늘 오전 11시 예약이에요. 시간 변경 좀 하려구요. 혹시 진료 끝나고 처방전 받으려면 얼마나 걸릴까요?","네, 예약 내역 확인되었습니다. 처방전은 보통 진료 직후에 바로 발급해드리고요. 언제로 시간 변경해드리면 될까요?"
3시 50분으로 부탁드릴게요.,죄송하지만 오늘은 예약이 마감되었습니다. 다른 날짜로 변경해드릴까요?
내일도 안되나요?,어쩌죠. 내일도 예약이 꽉 차있네요. 다른 날짜로 변경해드릴까요?
아 그럼 그냥 일단 예약 취소해주세요.,"네, 그럼 예약 최소 되셨습니다. 다른 문의사항 또 있으실까요?"
"아니요, 없어요.","네, 감사합니다."
"여보세요? 제가 오늘 진료 시간 좀 변경하고 싶은데, 혹시 진료가 늦어지면 미리 알려주나요?","네, 진료가 늦어지거나 변동이 생길 경우 별도로 안내해드립니다. 성함과 예약 시간 알려주세요."
"여보세요, 홍길동인데 오늘 오전 11시 예약이에요. 시간 변경 좀 하려구요. 혹시 제가 방문해서 진료 접수할 때 따로 필요한 서류가 있나요?","네, 예약 내역 확인되었습니다. 신분증 외에 특별히 준비하실 서류는 없으세요. 언제로 예약 변경해드리면 될까요?"
오늘 3시로 변경가능하죠?,"네, 그렇게 변경해드릴게요."
안녕하세요. 오늘 진료 예약이 있는데... 혹시 주차는 몇 시간까지 무료인가요?,"네, 진료 시 최대 2시간까지 무료 주차 가능하세요. 또 다른 문의사항 있으신가요?"
홍길동입니다. 오늘 오전 11시 예약이었어요.,"네, 예약 내역 확인되었습니다. 오후 2시 30분, 3시 50분, 5시 10분 중 변경 원하시는 시간 말씀해주시겠어요?"
"안녕하세요, 홍길동인데 오늘 오전 11시 예약이에요. 시간 변경 좀 하려구요. 혹시 진료 끝나고 약 처방까지 받으려면 총 얼마나 걸릴까요?","네, 예약 내역 확인되었고요. 보통 15분정도 걸리는데, 편차가 있어서 이렇다, 말씀드리기 어렵습니다. 예약 시간은 언제로 변경해드리면 될까요?"
3시 50분으로 부탁드릴게요.,"네, 그렇게 변경해드리겠습니다."
안녕하세요. 홍길동인데 오늘 오전 11시 예약이었어요. 오후에 혹시 2시쯤에 가능한가요?,"네, 예약 변경 원하시는 거 맞으실까요?"
"네네, 맞아요 2시로 변경 가능하죠?","아, 죄송하지만 2시에는 예약 마감되었어요. 다른 시간대는 안되실까요?"
"아, 네. 그러면 어느시간대가 되나요?",3시부터 5시까지 가능하세요. 아니면 내일은 동일한 시간대에 가능하십니다.
그럼 내일 2시로 바꿔주세요.,"네, 그렇게 변경해드릴께요. 다른 궁금한 점 있으신가요?"
아니요. 다 해결됐어요. 감사합니다.,"네, 감사합니다. 좋은 하루 보내세요."
안녕하세요.,"네, 경희내과입니다. 무엇을 도와드릴까요?"
예약 변경 하고 싶어요.,"아 네, 성함 말씀해주시겠어요?"
네 이순신이에요.,"네, 오늘 11시 예약이셨네요. 언제로 바꿔드리면 될까요?"
오늘 4시 30분으로 바꿔주세요.,"아, 오늘 오후는 예약이 다 마감되어서 자리가 없어요. 어쩌죠. 다른날로 변경해드릴까요?"
아. 그럼 어쩔 수 없네요. 내일은 시간이 언제 언제 비었나요?,내일은 예약이 여유로워서 웬만하면 예약이 되실 것 같은데 원하시는 시간 먼저 말씀해주시겠어요?
내일 3시 30분 가능할까요?,"네, 가능하세요. 그렇게 변경해드릴까요?"
"네네, 그렇게 변경해주세요.","네, 변경 되셨습니다. 또 도와드릴 거 있으신가요?"
아니요.,"네, 그럼 좋은 하루 보내세요."
안녕하세요.,"네, 경희내과입니다. 무엇을 도와드릴까요?"
예약변경하려고 하는데요.,"아, 네. 성함 말씀해주시겠어요?"
이정빈입니다.,오늘 오전 11시 진료 맞으신가요?
네. 맞아요. 오늘 오후로 예약 변경 가능할까요?,"아, 오늘 오후는 예약이 꽉 찼어요. 다른 날짜로 도와드릴까요?"
아 내일은 가능할까요?,"네네, 내일 11시에서 12시 사이, 3시 30분, 4시, 이렇게 가능하세요."
아 5시는 안되는건가요?,"네, 어쩌죠. 이미 예약이 차 있어요. 다른 시간대는 불가능하신가요?"
아 그러면 4시 30분으로 할게요.,"네네, 4시 30분으로 변경해드릴게요. 다른 문의사항 또 있으신가요?"
"아, 없어요. ","네, 그럼 그때 내원해주시면 됩니다. 좋은 하루 보내세요."
"안녕하세요, 저... 진료 좀 바꾸려구요.","네, 고객님. 예약 내역 확인을 위해 성함과 예약 시간을 말씀해주시겠어요?"
"아, 네네. 홍길동인데... 오늘이었던 것 같은데, 정확히 몇 시였는지 기억이 안 나네요.","네, 고객님. 오늘 날짜로 예약이 있으신지 한번 찾아봐드릴게요. 혹시 내과 진료가 맞으실까요?"
"네, 맞아요.","네, 확인해드리겠습니다. 오늘 오전 11시 내과 진료로 예약되어 있으십니다. 변경을 원하시나요?"
"네, 바꿔주세요. 혹시 오후에 가능한 시간 있나요?","네, 오후에는 2시 30분, 3시 50분, 5시 10분 진료가 가능합니다."
3시 50분으로 부탁드릴게요.,"네, 그렇게 변경해드렸습니다."
"여보세요. 제가 오늘 병원 예약을 해놨는데, 다른 날로 바꿀 수 있나요?","네, 성함과 어떤 날짜의 예약인지 알려주시겠어요?"
홍길동인데... 날짜는 잘 모르겠어요. 그냥 오늘 진료를 못 보게 될 것 같아서요.,"네, 고객님. 확인 도와드릴게요. 오늘 진료로 예약되어 있으신가요?"
"네, 오늘이었던 것 같아요.","네, 오늘 날짜로 홍길동님 예약은 확인되었습니다. 혹시 언제쯤으로 변경을 원하시나요?"
음... 다음주 같은데... 다음주에 혹시 가능한 날짜 있을까요?,"네, 다음주에도 가능한 날짜가 있습니다. 몇 시쯤을 원하시는지 말씀해주시겠어요?"
화요일 오후 4시로 할게요.,"네, 그렇게 변경해드렸습니다."
안녕하세요. 홍길동인데요. 제가 어제 전화해서 예약 잡은 것 같은데... 혹시 시간 변경 가능할까요?,"네, 고객님. 어제 예약하신 내역 확인해드릴게요. 혹시 어떤 진료이신가요?"
내과 진료였던 것 같은데... 오늘 진료가 맞나요?,"네, 확인해드리겠습니다. 오늘 오전 11시 내과 진료로 예약되어 있으십니다."
"맞아요! 그거 좀 바꿔야 하는데, 오후에 혹시 몇 시까지 진료하나요?","저희는 오후 6시 30분까지 진료합니다. 오후에 가능한 시간은 2시 30분, 3시 50분, 5시 10분입니다."
5시 10분으로 바꿔주세요.,"네, 그렇게 처리해드렸습니다."
"여보세요? 제가 오늘 예약을 했는데, 시간을 잘못 잡은 것 같아서요.","네, 성함과 예약 시간 알려주시겠어요?"
홍길동인데... 오전 예약이었어요. 근데 회사 때문에 안 될 것 같아요.,"네, 고객님. 오전 몇 시 예약이었는지 기억하시나요?"
아마 11시였을 거예요.,"네, 확인되었습니다. 오전 11시 진료가 맞습니다. 오후에 가능한 시간으로 변경해드릴까요?"
"네, 바꿔주세요. 가장 빠른 시간으로요.","네, 오후 2시 30분 진료가 가장 빠릅니다."
"네, 그걸로 할게요.","네, 그렇게 변경해드렸습니다."
"안녕하세요, 저 진료 예약 변경 좀 하고 싶은데요.","네, 고객님. 예약 내역 확인을 위해 성함과 예약 시간을 알려주시겠어요?"
이정빈이요. 제가 지난달에 예약했는데... 오늘인지는 모르겠어요.,"네, 고객님. 오늘 날짜로 예약이 있으신지 찾아봐드릴게요. 혹시 내과 진료가 맞으실까요?"
"네, 맞아요.","네, 오늘 오전 11시 내과 진료가 예약되어 있으십니다. 변경을 원하시나요?"
네. 오후에 3시나 4시쯤에 가능한가요?,"네, 오후 3시 50분 진료가 가능하세요."
3시 50분으로 변경할게요.,"네, 그렇게 변경해드렸습니다."
"여보세요. 제가 어제 전화해서 오늘 진료 예약 잡았는데, 혹시 예약이 잘 들어간 건지 확인하고 싶어서요.","네, 고객님. 성함과 생년월일을 말씀해주시면 확인해드릴게요."
홍길동이고 951225요.,"네, 확인되었습니다. 오늘 오전 11시 내과 진료로 예약되어 있으십니다."
"아, 네. 맞네요. 그럼 혹시 오후로 바꾸고 싶은데, 가능할까요?","네, 가능합니다. 오후 2시 30분, 3시 50분, 5시 10분 진료가 가능합니다."
5시 10분으로 변경해주세요.,"네, 그렇게 처리해드렸습니다."
안녕하세요. 홍길동인데요. 저 진료 예약이 돼 있다고 해서 전화했어요.,"네, 고객님. 혹시 어떤 날짜의 예약인지 기억하시나요?"
음... 오늘인 것 같아요.,"네, 오늘 날짜로 홍길동님 예약은 확인되었습니다. 변경을 원하시나요?"
"네, 바꾸고 싶어요. 오후에 빈 시간 있나요?","네, 오후 2시 30분, 3시 50분, 5시 10분 진료가 가능합니다."
3시 50분으로 변경해주세요.,"네, 그렇게 변경해드리겠습니다."
"여보세요. 저... 진료 예약을 한 것 같은데, 혹시 지금 바로 가도 될까요?","네, 고객님. 예약 내역 확인을 위해 성함과 원래 예약 시간을 말씀해주시겠어요?"
홍길동인데... 오늘 오전 11시였어요.,"네, 예약 내역은 확인됩니다. 지금 바로 오시면 대기 시간이 길어질 수 있습니다. 오후 2시 30분, 3시 50분, 5시 10분 중 편하신 시간으로 예약해드릴까요?"
3시 50분으로 변경할게요.,"네, 그렇게 처리해드렸습니다."
"안녕하세요. 제가 지난주에 예약하고 갔었는데, 이번주에 다시 오라고 했던 것 같아서요.","네, 고객님. 예약 내역 확인을 위해 성함과 생년월일을 알려주세요."
홍길동이고 95년생이에요.,"네, 확인되었습니다. 오늘 오전 11시 내과 진료가 예약되어 있으십니다. 혹시 시간 변경을 원하시나요?"
"네, 오후로 바꾸고 싶어요. 언제 가능할까요?","네, 오후 2시 30분, 3시 50분, 5시 10분 진료가 가능합니다."
3시 50분으로 바꿔주세요.,"네, 그렇게 변경해드리겠습니다."
